timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 04:03:49.017, 89 %, 51 %, 99.15 W, 1063 MHz
2020/12/31 04:03:50.020, 78 %, 52 %, 122.00 W, 1063 MHz
2020/12/31 04:03:51.022, 68 %, 49 %, 131.88 W, 1063 MHz
2020/12/31 04:03:52.025, 98 %, 54 %, 125.29 W, 1063 MHz
2020/12/31 04:03:53.028, 88 %, 62 %, 111.16 W, 1063 MHz
2020/12/31 04:03:54.029, 0 %, 0 %, 47.43 W, 1063 MHz
2020/12/31 04:03:55.031, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:56.034, 100 %, 63 %, 113.64 W, 1063 MHz
2020/12/31 04:03:57.037, 0 %, 0 %, 47.53 W, 1063 MHz
2020/12/31 04:03:58.039, 0 %, 0 %, 47.43 W, 1063 MHz
2020/12/31 04:03:59.042, 72 %, 21 %, 118.76 W, 1063 MHz
2020/12/31 04:04:00.045, 72 %, 29 %, 95.46 W, 1063 MHz
2020/12/31 04:04:01.048, 69 %, 37 %, 82.14 W, 1063 MHz
2020/12/31 04:04:02.050, 93 %, 43 %, 129.08 W, 1063 MHz
2020/12/31 04:04:03.051, 71 %, 43 %, 106.72 W, 1063 MHz
2020/12/31 04:04:04.054, 99 %, 66 %, 81.96 W, 1063 MHz
2020/12/31 04:04:05.057, 5 %, 2 %, 47.62 W, 1063 MHz
2020/12/31 04:04:06.059, 0 %, 0 %, 47.53 W, 1063 MHz
2020/12/31 04:04:07.062, 86 %, 57 %, 107.07 W, 1063 MHz
2020/12/31 04:04:08.065, 67 %, 52 %, 67.23 W, 1063 MHz
2020/12/31 04:04:09.067, 76 %, 44 %, 122.69 W, 1063 MHz
2020/12/31 04:04:10.070, 70 %, 46 %, 119.13 W, 1063 MHz
2020/12/31 04:04:11.073, 73 %, 53 %, 136.66 W, 1063 MHz
2020/12/31 04:04:12.075, 98 %, 55 %, 117.51 W, 1063 MHz
2020/12/31 04:04:13.078, 94 %, 56 %, 97.15 W, 1063 MHz
2020/12/31 04:04:14.081, 0 %, 0 %, 47.62 W, 1063 MHz
2020/12/31 04:04:15.083, 0 %, 0 %, 47.62 W, 1063 MHz
2020/12/31 04:04:16.086, 100 %, 64 %, 118.56 W, 1063 MHz
2020/12/31 04:04:17.090, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:18.092, 79 %, 31 %, 57.96 W, 1063 MHz
2020/12/31 04:04:19.095, 89 %, 55 %, 59.02 W, 1063 MHz
2020/12/31 04:04:20.102, 69 %, 48 %, 150.06 W, 1063 MHz
2020/12/31 04:04:21.105, 62 %, 29 %, 121.34 W, 1063 MHz
2020/12/31 04:04:22.108, 29 %, 12 %, 47.82 W, 1063 MHz
2020/12/31 04:04:23.110, 73 %, 53 %, 109.43 W, 1063 MHz
2020/12/31 04:04:24.113, 90 %, 57 %, 51.08 W, 1063 MHz
2020/12/31 04:04:25.116, 62 %, 30 %, 50.89 W, 1063 MHz
2020/12/31 04:04:26.119, 94 %, 66 %, 57.36 W, 1063 MHz
2020/12/31 04:04:27.124, 1 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:28.126, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:29.129, 19 %, 10 %, 115.65 W, 1063 MHz
2020/12/31 04:04:30.132, 36 %, 21 %, 115.13 W, 1063 MHz
2020/12/31 04:04:31.135, 81 %, 44 %, 48.01 W, 1063 MHz
2020/12/31 04:04:32.137, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:33.140, 30 %, 17 %, 114.54 W, 1063 MHz
2020/12/31 04:04:34.143, 99 %, 57 %, 49.52 W, 1063 MHz
2020/12/31 04:04:35.145, 54 %, 27 %, 47.91 W, 1063 MHz
2020/12/31 04:04:36.148, 3 %, 1 %, 110.97 W, 1063 MHz
2020/12/31 04:04:37.151, 67 %, 39 %, 112.92 W, 1063 MHz
2020/12/31 04:04:38.154, 76 %, 40 %, 48.10 W, 1063 MHz
