timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 10:57:39.040, 72 %, 49 %, 87.03 W, 949 MHz
2020/12/31 10:57:40.043, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:57:41.047, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:57:42.050, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:57:43.053, 72 %, 48 %, 132.75 W, 949 MHz
2020/12/31 10:57:44.056, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:57:45.058, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:57:46.062, 0 %, 0 %, 93.01 W, 949 MHz
2020/12/31 10:57:47.065, 68 %, 46 %, 72.89 W, 949 MHz
2020/12/31 10:57:48.069, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:57:49.072, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:57:50.075, 6 %, 4 %, 46.38 W, 949 MHz
2020/12/31 10:57:51.075, 0 %, 0 %, 104.93 W, 949 MHz
2020/12/31 10:57:52.078, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:57:53.081, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:57:54.084, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:57:55.087, 68 %, 44 %, 107.23 W, 949 MHz
2020/12/31 10:57:56.089, 0 %, 0 %, 46.47 W, 949 MHz
2020/12/31 10:57:57.091, 8 %, 1 %, 104.35 W, 949 MHz
2020/12/31 10:57:58.094, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:57:59.097, 78 %, 70 %, 110.58 W, 949 MHz
2020/12/31 10:58:00.100, 79 %, 56 %, 46.47 W, 949 MHz
2020/12/31 10:58:01.102, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:58:02.105, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:58:03.108, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:58:04.109, 72 %, 45 %, 117.00 W, 949 MHz
2020/12/31 10:58:05.112, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:58:06.114, 75 %, 60 %, 54.70 W, 949 MHz
2020/12/31 10:58:07.117, 0 %, 0 %, 46.28 W, 949 MHz
2020/12/31 10:58:08.120, 69 %, 64 %, 105.98 W, 949 MHz
2020/12/31 10:58:09.123, 62 %, 41 %, 46.47 W, 949 MHz
2020/12/31 10:58:10.125, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:58:11.128, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:58:12.131, 0 %, 0 %, 46.38 W, 949 MHz
2020/12/31 10:58:13.133, 70 %, 63 %, 111.77 W, 949 MHz
2020/12/31 10:58:14.136, 28 %, 22 %, 46.47 W, 949 MHz
2020/12/31 10:58:15.138, 0 %, 0 %, 46.47 W, 949 MHz
2020/12/31 10:58:16.141, 59 %, 47 %, 119.15 W, 949 MHz
2020/12/31 10:58:17.144, 0 %, 0 %, 46.47 W, 949 MHz
2020/12/31 10:58:18.150, 0 %, 0 %, 46.47 W, 949 MHz
2020/12/31 10:58:19.152, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 10:58:20.160, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 10:58:21.163, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 10:58:22.165, 100 %, 90 %, 47.53 W, 1063 MHz
2020/12/31 10:58:23.171, 0 %, 0 %, 48.78 W, 1189 MHz
2020/12/31 10:58:24.174, 8 %, 0 %, 112.20 W, 1189 MHz
2020/12/31 10:58:25.177, 0 %, 0 %, 48.87 W, 1189 MHz
2020/12/31 10:58:26.180, 79 %, 67 %, 111.93 W, 1189 MHz
2020/12/31 10:58:27.182, 0 %, 0 %, 50.60 W, 1303 MHz
2020/12/31 10:58:28.185, 0 %, 0 %, 110.90 W, 1303 MHz
2020/12/31 10:58:29.188, 0 %, 0 %, 50.51 W, 1303 MHz
2020/12/31 10:58:30.191, 0 %, 0 %, 50.48 W, 1303 MHz
2020/12/31 10:58:31.193, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:32.196, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:33.201, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:34.204, 68 %, 58 %, 151.70 W, 1430 MHz
2020/12/31 10:58:35.207, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:36.210, 33 %, 30 %, 53.07 W, 1430 MHz
2020/12/31 10:58:37.216, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:38.219, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:39.221, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:40.224, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:41.227, 0 %, 0 %, 52.97 W, 1430 MHz
2020/12/31 10:58:42.230, 0 %, 0 %, 55.95 W, 1531 MHz
2020/12/31 10:58:43.232, 0 %, 0 %, 55.95 W, 1531 MHz
2020/12/31 10:58:44.235, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:58:45.238, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:58:46.241, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:58:47.244, 76 %, 67 %, 158.86 W, 1531 MHz
2020/12/31 10:58:48.246, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:58:49.249, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:58:50.252, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:58:51.255, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:58:52.256, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:58:53.258, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:58:54.261, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:58:55.264, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:58:56.267, 23 %, 15 %, 138.49 W, 1531 MHz
2020/12/31 10:58:57.270, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:58:58.273, 45 %, 42 %, 56.62 W, 1531 MHz
2020/12/31 10:58:59.276, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:59:00.279, 0 %, 0 %, 55.95 W, 1531 MHz
2020/12/31 10:59:01.282, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:59:02.284, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:59:03.287, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:59:04.290, 89 %, 79 %, 142.97 W, 1531 MHz
2020/12/31 10:59:05.293, 0 %, 0 %, 55.95 W, 1531 MHz
2020/12/31 10:59:06.296, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:59:07.298, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:59:08.301, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:59:09.304, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:59:10.307, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:59:11.310, 0 %, 0 %, 56.04 W, 1531 MHz
2020/12/31 10:59:12.313, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:59:13.318, 75 %, 65 %, 59.50 W, 1531 MHz
2020/12/31 10:59:14.321, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:59:15.324, 0 %, 0 %, 56.24 W, 1531 MHz
2020/12/31 10:59:16.328, 0 %, 0 %, 56.14 W, 1531 MHz
2020/12/31 10:59:17.331, 0 %, 0 %, 56.24 W, 1531 MHz
2020/12/31 10:59:18.334, 61 %, 35 %, 162.22 W, 1531 MHz
