timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 09:56:32.684, 42 %, 13 %, 75.63 W, 1063 MHz
2020/12/31 09:56:33.687, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 09:56:34.690, 48 %, 15 %, 50.48 W, 1063 MHz
2020/12/31 09:56:35.692, 65 %, 21 %, 50.99 W, 1063 MHz
2020/12/31 09:56:36.695, 49 %, 16 %, 66.37 W, 1063 MHz
2020/12/31 09:56:37.698, 29 %, 10 %, 54.22 W, 1063 MHz
2020/12/31 09:56:38.701, 47 %, 15 %, 47.43 W, 1063 MHz
2020/12/31 09:56:39.704, 44 %, 15 %, 60.17 W, 1063 MHz
2020/12/31 09:56:40.706, 28 %, 9 %, 60.14 W, 1063 MHz
2020/12/31 09:56:41.709, 36 %, 12 %, 81.67 W, 1063 MHz
2020/12/31 09:56:42.712, 40 %, 13 %, 81.48 W, 1063 MHz
2020/12/31 09:56:43.715, 40 %, 12 %, 48.87 W, 1063 MHz
2020/12/31 09:56:44.718, 37 %, 13 %, 80.53 W, 1063 MHz
2020/12/31 09:56:45.721, 52 %, 17 %, 54.41 W, 1063 MHz
2020/12/31 09:56:46.723, 53 %, 18 %, 47.62 W, 1063 MHz
2020/12/31 09:56:47.726, 35 %, 11 %, 79.12 W, 1063 MHz
2020/12/31 09:56:48.729, 26 %, 9 %, 79.85 W, 1063 MHz
2020/12/31 09:56:49.732, 52 %, 17 %, 47.53 W, 1063 MHz
2020/12/31 09:56:50.736, 62 %, 20 %, 66.56 W, 1063 MHz
2020/12/31 09:56:51.739, 0 %, 0 %, 47.15 W, 1063 MHz
2020/12/31 09:56:52.741, 44 %, 14 %, 80.24 W, 1063 MHz
2020/12/31 09:56:53.744, 51 %, 17 %, 54.99 W, 1063 MHz
2020/12/31 09:56:54.747, 39 %, 13 %, 47.53 W, 1063 MHz
2020/12/31 09:56:55.750, 36 %, 12 %, 77.59 W, 1063 MHz
2020/12/31 09:56:56.752, 44 %, 14 %, 75.06 W, 1063 MHz
2020/12/31 09:56:57.755, 52 %, 17 %, 51.92 W, 1063 MHz
2020/12/31 09:56:58.758, 33 %, 12 %, 52.78 W, 1063 MHz
2020/12/31 09:56:59.761, 43 %, 13 %, 82.34 W, 1063 MHz
2020/12/31 09:57:00.763, 37 %, 13 %, 63.49 W, 1063 MHz
2020/12/31 09:57:01.766, 45 %, 15 %, 78.70 W, 1063 MHz
2020/12/31 09:57:02.769, 46 %, 15 %, 81.81 W, 1063 MHz
2020/12/31 09:57:03.772, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 09:57:04.774, 56 %, 19 %, 54.60 W, 1063 MHz
2020/12/31 09:57:05.777, 34 %, 12 %, 67.90 W, 1063 MHz
2020/12/31 09:57:06.780, 36 %, 11 %, 82.30 W, 1063 MHz
2020/12/31 09:57:07.786, 69 %, 22 %, 82.06 W, 1063 MHz
2020/12/31 09:57:08.789, 38 %, 12 %, 48.97 W, 1063 MHz
2020/12/31 09:57:09.792, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 09:57:10.794, 34 %, 12 %, 47.91 W, 1063 MHz
2020/12/31 09:57:11.797, 38 %, 13 %, 47.53 W, 1063 MHz
