time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608679659.6,0.124791022172,97.46,1,0,254,0,245,1063
1608679664.77,24.7953894057,123.38,128,0,254,127,245,1063
1608679671.37,29.0980152008,129.87,192,127,254,191,245,1063
1608679678.78,30.2551139814,131.59,224,191,254,223,245,1063
1608679686.6,30.6783041701,131.11,240,223,254,239,245,1063
1608679694.59,31.0642755784,149.87,248,239,254,247,245,1063
1608679703.35,28.7761080935,140.38,252,247,254,251,245,1063
1608679711.65,30.6107596287,137.33,254,251,254,253,245,1063
1608679719.87,31.0182792067,150.74,255,253,254,254,245,1063
1608679723.43,77.9127450992,140.96,255,253,254,254,245,1189
1608679726.78,82.481271915,159.71,255,253,254,254,245,1303
1608679730.04,85.1573421994,178.14,255,253,254,254,245,1430
1608679733.51,79.2858879095,206.16,255,253,254,254,245,1531
1608679736.66,81.1561709981,232.75,255,253,254,254,245,1531
1608679739.79,81.5451459082,204.32,255,253,254,254,245,1531
1608679742.92,81.5732698674,200.15,255,253,254,254,245,1531
1608679745.93,84.6115226043,194.91,255,253,254,254,245,1531
1608679749.17,78.8344837595,229.07,255,253,254,254,245,1531
1608679752.33,80.6968700739,214.62,255,253,254,254,245,1531
1608679755.39,83.5717061826,196.9,255,253,254,254,245,1531
1608679758.53,81.1458945188,208.14,255,253,254,254,245,1531
1608679761.48,86.6424516027,202.44,255,253,254,254,245,1531
1608679764.41,87.1095288297,202.44,255,253,254,254,245,1531
1608679767.38,85.8333251075,206.9,255,253,254,254,245,1531
1608679770.48,82.3942021094,206.9,255,253,254,254,245,1531
1608679773.53,83.5921699305,208.04,255,253,254,254,245,1531
1608679776.59,83.5573555331,204.13,255,253,254,254,245,1531
1608679779.59,85.1116679928,199.48,255,253,254,254,245,1531
1608679782.82,78.852088459,201.68,255,253,254,254,245,1531
1608679785.87,83.8456696753,227.93,255,253,254,254,245,1531
1608679788.93,83.4497783783,199.55,255,253,254,254,245,1531
1608679792.1,80.5434752404,201.88,255,253,254,254,245,1531
1608679795.24,81.287074037,207.12,255,253,254,254,245,1531
1608679798.31,82.9327630108,195.0,255,253,254,254,245,1531
1608679801.26,86.5402385734,206.36,255,253,254,254,245,1531
1608679804.37,82.1370315037,206.36,255,253,254,254,245,1531
1608679807.29,87.4671282959,204.61,255,253,254,254,245,1531
1608679810.26,85.7602887127,211.57,255,253,254,254,245,1531
1608679813.29,84.1882862341,208.35,255,253,254,254,245,1531
1608679816.13,89.9693638275,204.53,255,253,254,254,245,1531
1608679819.21,82.9806923099,204.53,255,253,254,254,245,1531
1608679822.19,85.3589333313,201.7,255,253,254,254,245,1531
1608679825.26,83.373363242,213.96,255,253,254,254,245,1531
1608679828.23,85.8253836373,203.21,255,253,254,254,245,1531
1608679831.3,82.9546714552,208.51,255,253,254,254,245,1531
1608679834.43,81.6410971038,204.24,255,253,254,254,245,1531
1608679837.75,76.852718148,201.21,255,253,254,254,245,1531
1608679840.68,87.1220952752,205.02,255,253,254,254,245,1531
1608679843.78,82.1646626524,205.02,255,253,254,254,245,1531
1608679846.62,89.8273149747,219.97,255,253,254,254,245,1531
1608679849.47,89.5858328164,219.97,255,253,254,254,245,1531
1608679852.8,76.7365946695,201.31,255,253,254,254,245,1531
1608679856.0,79.7128586444,233.98,255,253,254,254,245,1531
1608679859.13,81.3270277969,209.31,255,253,254,254,245,1531
1608679862.3,80.5484613216,207.77,255,253,254,254,245,1531
1608679865.21,87.5902762161,208.15,255,253,254,254,245,1531
1608679868.3,82.7576230157,208.15,255,253,254,254,245,1531
1608679871.38,84.168304577,207.49,255,253,254,254,245,1531
1608679874.3,87.2899071397,206.9,255,253,254,254,245,1531
1608679877.39,82.5343167766,206.9,255,253,254,254,245,1531
1608679880.34,86.385479549,203.86,255,253,254,254,245,1531
1608679883.45,82.1806289155,206.07,255,253,254,254,245,1531
1608679886.4,86.2935690548,204.45,255,253,254,254,245,1531
1608679889.53,81.577811821,209.96,255,253,254,254,245,1531
1608679892.69,80.7051696099,207.37,255,253,254,254,245,1531
1608679895.75,83.4101189643,209.09,255,253,254,254,245,1531
1608679898.77,84.3521138513,201.95,255,253,254,254,245,1531
1608679901.59,90.3887990816,202.31,255,253,254,254,245,1531
1608679904.7,82.0040893649,208.13,255,253,254,254,245,1531
1608679908.52,66.792342684,236.37,255,253,254,254,245,1531
1608679911.66,81.3429052326,239.32,255,253,254,254,245,1531
1608679914.71,83.7033506618,202.98,255,253,254,254,245,1531
1608679917.59,88.2718258589,204.7,255,253,254,254,245,1531
1608679920.49,88.0108554242,206.51,255,253,254,254,245,1531
1608679923.53,83.9229073464,214.49,255,253,254,254,245,1531
1608679926.48,86.597519656,215.11,255,253,254,254,245,1531
1608679929.48,84.7833538709,215.11,255,253,254,254,245,1531
1608679932.28,91.2112365204,214.82,255,253,254,254,245,1531
1608679935.29,84.7856860534,214.82,255,253,254,254,245,1531
1608679938.34,83.6645166741,213.19,255,253,254,254,245,1531
1608679942.14,26.5960800819,232.45,101,253,254,254,245,1531

 ,min, 0.124791022172, 97.46,1.0,0.0,254.0,0.0,245.0, 1063.0
 ,max, 91.2112365204, 239.32,255.0,253.0,254.0,254.0,245.0, 1531.0
 ,average, 76.45604604639225, 198.80481481481485,246.91358024691357,243.79012345679013,254.0,247.8148148148148,245.0, 1470.716049382716
 ,std, 19.397249801837145, 27.37560029720578,35.88018385341234,41.870380835893805,0.0,31.964529380955284,0.0, 151.37226082527667
 ,Number of power cap violation, 0
 ,Violation Amount Precentage, 0.0
