,,,Throug
Total Execution Time, 12_PNASNet_5_Mobile_224_BatchSizer.txt,201.7647328,74.34401339
Total Execution Time, 27_PNASNet_5_Mobile_224_BatchSizer.txt,170.7660949,117.1192678
