time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608678820.3,0.193615821762,82.14,1,0,254,0,192,1063
1608678822.69,53.7143727299,118.94,128,0,254,127,192,1063
1608678823.77,118.870374011,118.94,128,0,254,127,192,1063
1608678826.79,63.6041683187,119.44,192,127,254,191,192,1063
1608678830.56,59.4752873383,122.11,224,191,254,223,192,1063
1608678834.31,63.9688180969,126.05,240,223,254,239,192,1063
1608678838.32,61.9033844399,123.72,248,239,254,247,192,1063
1608678842.35,62.6848350047,143.65,252,247,254,251,192,1063
1608678846.48,61.5290671191,119.89,254,251,254,253,192,1063
1608678850.59,62.1354581109,119.8,255,253,254,254,192,1063
1608678852.77,131.774701515,145.2,255,253,254,254,192,1189
1608678854.76,128.552790662,145.2,255,253,254,254,192,1189
1608678857.33,122.866999023,152.4,255,253,254,254,192,1303
1608678859.34,127.182098122,152.4,255,253,254,254,192,1303
1608678861.52,132.019889866,171.67,255,253,254,254,192,1430
1608678863.48,130.342116096,171.67,255,253,254,254,192,1430
1608678865.58,121.772782653,142.03,255,253,254,254,192,1430
1608678867.48,134.377083412,142.03,255,253,254,254,192,1430
1608678869.79,122.173125163,183.29,255,253,254,254,192,1531
1608678871.72,131.833500023,183.29,255,253,254,254,192,1531
1608678873.32,160.181324092,207.31,255,253,254,254,192,1531
1608678875.16,139.080225764,207.31,255,253,254,254,192,1531
1608678876.9,145.59127234,156.09,254,253,254,253,192,1531
1608678878.67,143.516281205,159.44,254,253,254,253,192,1531
1608678880.62,130.710599986,196.74,254,253,254,253,192,1531
1608678882.71,121.976566968,196.74,254,253,254,253,192,1531
1608678884.62,66.2955852569,185.31,127,0,253,126,192,1531
1608678885.61,129.18464539,185.31,127,0,253,126,192,1531
1608678886.64,123.443215365,185.31,127,0,253,126,192,1531
1608678887.58,135.051499804,147.75,127,0,253,126,192,1531
1608678888.46,145.116325091,147.75,127,0,253,126,192,1531
1608678889.46,126.68087432,147.75,127,0,253,126,192,1531
1608678890.55,116.301558929,147.75,127,0,253,126,192,1531
1608678893.57,63.3927905654,183.49,191,126,253,190,192,1531
1608678894.93,140.83000803,57.0,191,126,253,190,192,1531
1608678896.31,138.137035877,148.04,191,126,253,190,192,1531
1608678897.85,124.68152125,190.34,191,126,253,190,192,1531
1608678899.3,131.855083718,186.54,191,126,253,190,192,1531
1608678900.86,122.18056524,186.54,191,126,253,190,192,1531
1608678902.3,133.232693357,57.2,191,126,253,190,192,1531
1608678903.7,136.624516935,57.48,191,126,253,190,192,1531
1608678905.09,137.289281692,57.48,191,126,253,190,192,1531
1608678908.32,69.0827853221,221.84,223,190,253,222,192,1531
1608678911.54,64.2915260894,210.82,207,190,222,206,192,1531
1608678914.66,63.908823937,218.05,199,190,206,198,192,1531
1608678917.6,66.20773798,216.34,195,190,198,194,192,1531
1608678919.04,136.077968257,216.34,195,190,198,194,192,1531
1608678921.96,66.0880157749,193.96,193,190,194,192,192,1531
1608678923.51,124.506097564,193.96,193,190,194,192,192,1531
1608678924.91,137.14950438,60.08,192,190,192,191,192,1531
1608678926.24,144.815703199,60.08,192,190,192,191,192,1531
1608678927.68,133.972669658,60.08,192,190,192,191,192,1531
1608678929.12,133.468049721,59.88,193,191,192,192,192,1531
1608678930.46,144.541121513,89.53,193,191,192,192,192,1531
1608678931.9,134.359188036,89.53,193,191,192,192,192,1531
1608678933.89,112.434909815,87.66,224,192,254,223,192,1531
1608678935.49,140.174168988,195.67,224,192,254,223,192,1531
1608678938.49,69.2740071058,190.41,208,192,223,207,192,1531
1608678940.05,134.215208884,205.56,208,192,223,207,192,1531
1608678941.49,144.64776662,205.56,208,192,223,207,192,1531
1608678943.08,130.705490494,205.56,208,192,223,207,192,1531
1608678946.13,65.5772111787,196.71,200,192,207,199,192,1531
1608678949.56,57.1974355612,212.8,196,192,199,195,192,1531
1608678952.57,64.4096303639,192.45,194,192,195,193,192,1531
1608678954.01,134.139929621,58.83,193,192,193,192,192,1531
1608678955.75,111.20111973,59.02,193,192,193,192,192,1531
1608678957.08,146.234212332,57.87,194,192,193,193,192,1531
1608678958.47,139.653730753,64.93,194,192,193,193,192,1531
1608678959.98,128.391212982,64.93,194,192,193,193,192,1531
1608678963.16,70.8215287246,218.06,225,193,254,224,192,1531
1608678966.35,65.4845415658,217.93,209,193,224,208,192,1531
1608678969.4,65.9383912882,187.89,201,193,208,200,192,1531
1608678970.91,133.087556416,57.48,201,193,208,200,192,1531
1608678972.36,138.99375822,57.77,201,193,208,200,192,1531
1608678973.81,138.217287967,59.12,201,193,208,200,192,1531
1608678976.92,66.0613082444,185.3,205,200,208,204,192,1531
1608678978.4,138.548910213,58.44,205,200,208,204,192,1531
1608678979.9,136.720907749,211.14,205,200,208,204,192,1531
1608678981.29,147.259324061,211.14,205,200,208,204,192,1531
1608678984.43,64.6206861797,209.84,203,200,204,202,192,1531
1608678987.37,68.6782587705,183.46,202,200,202,201,192,1531
1608678988.89,132.904786615,183.46,202,200,202,201,192,1531
1608678990.3,143.45429862,122.01,202,200,202,201,192,1531
1608678991.79,135.550189042,197.01,202,200,202,201,192,1531
1608678994.09,87.8659280634,197.01,202,200,202,201,192,1531
1608678995.63,130.843187163,57.96,201,200,201,200,192,1531
1608678996.99,147.480385166,67.52,201,200,201,200,192,1531
1608678998.52,131.3871494,67.52,201,200,201,200,192,1531
