time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608674251.55,0.230070756166,69.25,1,0,254,0,89,1063
1608674253.33,71.70715716,95.78,128,0,254,127,89,1063
1608674254.67,95.8817395665,95.78,128,0,254,127,89,1063
1608674255.63,66.8111535,87.37,64,0,127,63,89,1063
1608674256.35,88.4289515833,87.37,64,0,127,63,89,1063
1608674257.01,97.6970902196,87.37,64,0,127,63,89,1063
1608674257.8,80.4742967448,87.37,64,0,127,63,89,1063
1608674258.48,94.5569166963,47.81,64,0,127,63,89,1063
1608674259.18,91.26338418,47.81,64,0,127,63,89,1063
1608674259.97,81.2959651455,47.81,64,0,127,63,89,1063
1608674260.53,115.538055163,48.97,64,0,127,63,89,1063
1608674261.18,98.8295022324,48.97,64,0,127,63,89,1063
1608674262.46,74.9296318344,100.01,96,63,127,95,89,1063
1608674263.41,100.844134745,100.01,96,63,127,95,89,1063
1608674264.61,80.2214792632,100.01,96,63,127,95,89,1063
1608674265.87,63.2315555961,114.92,80,63,95,79,89,1063
1608674266.71,96.0973642729,114.92,80,63,95,79,89,1063
1608674267.61,88.7333147869,114.92,80,63,95,79,89,1063
1608674268.65,69.0642257058,90.92,72,63,79,71,89,1063
1608674269.54,81.4137919042,90.92,72,63,79,71,89,1063
1608674270.4,83.6136851945,90.92,72,63,79,71,89,1063
1608674271.2,90.5575014409,90.92,72,63,79,71,89,1063
1608674272.31,61.3909010329,47.53,68,63,71,67,89,1063
1608674273.16,79.6685889258,47.82,68,63,71,67,89,1063
1608674273.82,102.505660383,56.62,68,63,71,67,89,1063
1608674274.53,97.0775483086,56.62,68,63,71,67,89,1063
1608674275.44,76.4217294974,47.53,70,67,71,69,89,1063
1608674276.12,103.702026101,48.01,70,67,71,69,89,1063
1608674277.12,69.9122576417,48.01,70,67,71,69,89,1063
1608674277.91,88.5143699559,48.01,70,67,71,69,89,1063
1608674278.84,76.3481908569,86.07,71,69,71,70,89,1063
1608674279.58,95.8886670344,86.07,71,69,71,70,89,1063
1608674280.3,98.6267508329,86.07,71,69,71,70,89,1063
1608674281.09,90.1154705562,86.07,71,69,71,70,89,1063
1608674281.87,90.9772296931,52.01,71,69,71,70,89,1063
1608674282.6,98.360702434,52.01,71,69,71,70,89,1063
1608674283.38,91.2706745855,52.01,71,69,71,70,89,1063
1608674284.19,87.4471239512,52.01,71,69,71,70,89,1063
1608674284.97,91.7842693515,52.59,72,70,71,71,89,1063
1608674285.74,94.5700825355,52.59,72,70,71,71,89,1063
1608674286.46,99.0357750842,52.59,72,70,71,71,89,1063
1608674287.17,101.761437594,52.59,72,70,71,71,89,1063
