time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608674431.28,0.242744834175,56.53,1,0,254,0,112,1063
1608674432.79,85.0842119426,66.08,128,0,254,127,112,1063
1608674434.11,96.6955163557,66.08,128,0,254,127,112,1063
1608674435.56,88.5774021838,66.08,128,0,254,127,112,1063
1608674437.9,82.0947553355,77.84,192,127,254,191,112,1063
1608674439.97,92.774954716,77.84,192,127,254,191,112,1063
1608674442.39,92.6221517324,81.37,224,191,254,223,112,1063
1608674444.86,90.9653882428,81.37,224,191,254,223,112,1063
1608674447.92,78.4993009689,81.77,240,223,254,239,112,1063
1608674450.95,81.8329764144,47.43,248,239,254,247,112,1063
1608674453.72,90.9949993259,50.7,252,247,254,251,112,1063
1608674456.41,93.8519171383,50.7,252,247,254,251,112,1063
1608674459.18,91.8985638213,84.64,254,251,254,253,112,1063
1608674461.69,101.140699213,84.64,254,251,254,253,112,1063
1608674464.45,92.6204419258,47.43,255,253,254,254,112,1063
1608674467.28,89.9495321024,47.44,255,253,254,254,112,1063
1608674470.39,90.670632769,48.97,255,253,254,254,112,1189
1608674473.37,97.531350901,50.76,255,253,254,254,112,1303
1608674476.19,90.4519937753,50.76,255,253,254,254,112,1303
1608674479.07,97.7215597441,53.17,255,253,254,254,112,1430
1608674481.66,98.3941735574,53.36,255,253,254,254,112,1430
1608674484.54,97.9206604146,77.49,255,253,254,254,112,1531
1608674487.47,86.9770181065,77.49,255,253,254,254,112,1531
1608674490.28,90.8826158075,56.24,255,253,254,254,112,1531
1608674493.09,90.7709381937,56.24,255,253,254,254,112,1531
1608674495.66,99.5049367886,56.24,255,253,254,254,112,1531
1608674498.25,98.2673665038,56.24,255,253,254,254,112,1531
1608674501.09,89.9647020942,58.06,255,253,254,254,112,1531
1608674503.7,97.7288191904,59.5,255,253,254,254,112,1531
1608674506.18,102.813288789,56.14,255,253,254,254,112,1531
1608674509.09,87.7974675065,56.14,255,253,254,254,112,1531
1608674511.99,87.8118553464,56.24,255,253,254,254,112,1531
1608674514.93,86.993989751,58.16,255,253,254,254,112,1531
1608674517.47,100.365138332,56.24,255,253,254,254,112,1531
1608674520.23,92.4326971648,56.24,255,253,254,254,112,1531
1608674522.68,104.188505503,56.24,255,253,254,254,112,1531
1608674525.29,97.5425050283,56.24,255,253,254,254,112,1531
1608674527.76,103.419201138,57.2,255,253,254,254,112,1531
1608674530.74,87.111345099,57.2,255,253,254,254,112,1531
1608674533.24,102.364169405,75.48,255,253,254,254,112,1531
1608674535.96,93.49491544,92.5,255,253,254,254,112,1531
1608674538.66,94.7696831298,56.24,255,253,254,254,112,1531
1608674541.24,98.8242990347,56.24,255,253,254,254,112,1531
1608674543.9,95.7944753002,92.16,255,253,254,254,112,1531
1608674546.68,91.7662690419,92.16,255,253,254,254,112,1531
1608674549.28,97.9625716254,64.93,255,253,254,254,112,1531
1608674552.46,80.3015088205,94.08,255,253,254,254,112,1531
1608674555.02,99.7224138521,56.33,255,253,254,254,112,1531
1608674557.61,98.5399070735,56.33,255,253,254,254,112,1531
1608674560.35,92.8568289452,56.33,255,253,254,254,112,1531
1608674562.97,97.3885742555,56.33,255,253,254,254,112,1531
1608674565.66,95.0675273888,57.68,255,253,254,254,112,1531
1608674568.23,99.0719074473,57.68,255,253,254,254,112,1531
1608674570.78,100.121949576,57.1,255,253,254,254,112,1531
1608674573.53,92.7313568401,57.1,255,253,254,254,112,1531
1608674576.08,100.124864529,75.0,255,253,254,254,112,1531
1608674578.72,96.4164442817,75.0,255,253,254,254,112,1531
1608674581.38,96.0358676008,58.25,255,253,254,254,112,1531
1608674583.9,100.903698468,58.25,255,253,254,254,112,1531
1608674586.51,97.8953319777,56.33,255,253,254,254,112,1531
1608674589.48,85.7345161686,56.33,255,253,254,254,112,1531
1608674592.36,88.6726137826,56.24,255,253,254,254,112,1531
1608674592.94,74.4036006452,56.24,43,253,254,254,112,1531

 ,min, 0.242744834175, 47.43,1.0,0.0,254.0,0.0,112.0, 1063.0
 ,max, 104.188505503, 94.08,255.0,253.0,254.0,254.0,112.0, 1531.0
 ,average, 92.03291448232817, 62.83825396825396,238.0952380952381,230.015873015873,254.0,240.46031746031747,112.0, 1396.2698412698412
 ,std, 13.243078962076032, 12.501784322131279,48.79458540274577,64.65672286421136,0.0,42.07092477008711,0.0, 203.23293433493373
 ,Number of power cap violation, 0
 ,Violation Amount Precentage, 0.0
