time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608683938.2,0.187662047565,88.43,1,0,254,0,198,1063
1608683940.88,47.7562560838,120.38,128,0,254,127,198,1063
1608683941.95,120.26244394,121.15,128,0,254,127,198,1063
1608683945.15,59.9966465321,128.74,192,127,254,191,198,1063
1608683949.36,53.2265748742,125.86,224,191,254,223,198,1063
1608683953.56,57.2591490054,129.36,240,223,254,239,198,1063
1608683957.82,58.314577941,138.11,248,239,254,247,198,1063
1608683962.44,54.5905928943,137.82,252,247,254,251,198,1063
1608683967.14,54.0270926275,143.75,254,251,254,253,198,1063
1608683971.72,55.6769147895,137.99,255,253,254,254,198,1063
1608683974.19,115.02257332,114.06,255,253,254,254,198,1189
1608683976.31,120.49275121,137.92,255,253,254,254,198,1189
1608683978.81,115.00935142,136.39,255,253,254,254,198,1303
1608683980.98,117.702833304,150.62,255,253,254,254,198,1303
1608683983.42,117.357985864,167.73,255,253,254,254,198,1430
1608683985.64,115.351362218,172.59,255,253,254,254,198,1430
1608683987.83,116.328186443,157.0,255,253,254,254,198,1430
1608683989.88,124.737505403,176.89,255,253,254,254,198,1430
1608683992.04,118.267068016,168.37,255,253,254,254,198,1430
1608683994.09,124.699503871,168.37,255,253,254,254,198,1430
1608683996.13,125.122296785,171.26,255,253,254,254,198,1430
1608683998.17,125.150670852,171.26,255,253,254,254,198,1430
1608684000.01,138.476791894,168.5,255,253,254,254,198,1430
1608684001.95,132.027891643,168.5,255,253,254,254,198,1430
1608684004.12,117.614287802,143.18,255,253,254,254,198,1430
1608684006.29,117.720866783,166.21,255,253,254,254,198,1430
1608684008.32,125.828068966,170.04,255,253,254,254,198,1430
1608684010.41,121.860607458,177.12,255,253,254,254,198,1430
1608684012.58,117.851554189,175.55,255,253,254,254,198,1430
1608684014.79,115.473908915,175.55,255,253,254,254,198,1430
1608684016.91,120.023835372,175.57,255,253,254,254,198,1430
1608684018.96,124.748984586,175.57,255,253,254,254,198,1430
1608684021.11,118.667797631,144.71,255,253,254,254,198,1430
1608684022.96,138.182398864,159.62,255,253,254,254,198,1430
1608684025.12,118.439223113,158.96,255,253,254,254,198,1430
1608684027.25,119.857468402,158.96,255,253,254,254,198,1430
1608684029.36,121.019177208,179.75,255,253,254,254,198,1430
1608684031.29,132.069872045,179.75,255,253,254,254,198,1430
1608684033.33,124.922301664,179.47,255,253,254,254,198,1430
1608684035.27,131.880202609,179.47,255,253,254,254,198,1430
1608684037.34,123.164662628,159.34,255,253,254,254,198,1430
1608684039.39,124.326379735,167.32,255,253,254,254,198,1430
1608684041.38,128.420648691,151.31,255,253,254,254,198,1430
1608684043.42,124.881737753,177.84,255,253,254,254,198,1430
1608684045.37,131.140463036,146.6,255,253,254,254,198,1430
1608684047.38,127.350039043,160.89,255,253,254,254,198,1430
1608684049.74,107.970473432,171.37,255,253,254,254,198,1430
1608684051.83,121.687590238,171.37,255,253,254,254,198,1430
1608684053.8,130.084378989,157.62,255,253,254,254,198,1430
1608684055.81,126.599305493,157.62,255,253,254,254,198,1430
1608684058.09,140.138772494,185.68,255,253,254,254,198,1531
1608684060.09,127.162637175,199.2,255,253,254,254,198,1531
1608684062.4,110.299353208,172.68,254,253,254,253,198,1531
