,,,Throu
Total Execution Time, 11_NASNet_A_Mobile_224_BatchSizer.txt,207.225728,72.38483437
Total Execution Time, 25_NASNet_A_Mobile_224_BatchSizer.txt,173.6050549,115.2040188
