time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608678128.22,0.14239117752,92.93,1,0,254,0,167,1063
1608678131.65,37.3273161415,120.38,128,0,254,127,167,1063
1608678136.25,41.7333602951,122.48,192,127,254,191,167,1063
1608678142.13,38.1246472343,146.15,224,191,254,223,167,1063
1608678145.34,69.8827291515,126.02,224,191,254,223,167,1063
1608678151.04,42.1248244142,130.04,240,223,254,239,167,1063
1608678157.15,40.5815534278,122.57,248,239,254,247,167,1063
1608678163.29,41.0503273281,132.93,252,247,254,251,167,1063
1608678169.55,40.6460346362,141.36,254,251,254,253,167,1063
1608678172.98,73.9231487454,129.69,254,251,254,253,167,1063
1608678179.04,42.12399477,129.4,255,253,254,254,167,1063
1608678182.79,72.7139989406,141.84,255,253,254,254,167,1189
1608678186.28,73.0458920221,137.71,255,253,254,254,167,1189
1608678189.67,75.2065271443,140.0,255,253,254,254,167,1189
1608678193.36,69.2908238925,135.02,255,253,254,254,167,1189
1608678196.89,72.1698168399,139.55,255,253,254,254,167,1189
1608678200.53,70.0432854166,140.51,255,253,254,254,167,1189
1608678204.27,68.2389088946,138.76,255,253,254,254,167,1189
1608678207.9,70.3379808484,142.58,255,253,254,254,167,1189
1608678211.36,73.7826741144,134.4,255,253,254,254,167,1189
1608678214.88,72.4051502518,136.66,255,253,254,254,167,1189
1608678218.64,67.9055845116,133.33,255,253,254,254,167,1189
1608678222.54,70.411528044,148.15,255,253,254,254,167,1303
1608678226.0,73.7606923252,146.24,255,253,254,254,167,1303
1608678229.45,74.0846618108,148.81,255,253,254,254,167,1303
1608678232.89,73.986536363,159.32,255,253,254,254,167,1303
1608678236.5,70.7713308846,147.85,255,253,254,254,167,1303
1608678240.06,71.6925493536,147.85,255,253,254,254,167,1303
1608678243.59,72.2484815827,152.63,255,253,254,254,167,1303
1608678247.35,67.8247787438,146.89,255,253,254,254,167,1303
1608678251.38,63.3124302085,157.71,255,253,254,254,167,1303
1608678255.27,65.6136226846,151.68,255,253,254,254,167,1303
1608678258.75,73.2401452384,146.62,255,253,254,254,167,1303
1608678262.4,70.0059255305,151.87,255,253,254,254,167,1303
1608678265.95,71.7364754414,153.61,255,253,254,254,167,1303
1608678269.18,79.0671686229,157.72,255,253,254,254,167,1303
1608678272.77,70.9810701001,151.96,255,253,254,254,167,1303
1608678276.74,64.2121361849,156.76,255,253,254,254,167,1303
1608678280.28,72.1952364061,155.12,255,253,254,254,167,1303
1608678283.75,73.4057988073,158.87,255,253,254,254,167,1303
1608678287.21,73.7151218734,154.85,255,253,254,254,167,1303
1608678290.85,70.2312379789,149.31,255,253,254,254,167,1303
1608678294.59,68.0639458292,146.51,255,253,254,254,167,1303
1608678298.19,70.8499643944,148.52,255,253,254,254,167,1303
1608678302.13,64.8157979897,158.08,255,253,254,254,167,1303
1608678305.87,68.1783540443,147.56,255,253,254,254,167,1303
1608678309.59,68.6377491361,152.15,255,253,254,254,167,1303
1608678312.84,78.2930057476,158.1,255,253,254,254,167,1303
1608678316.48,70.0563104569,150.81,255,253,254,254,167,1303
1608678320.01,72.2828463294,159.33,255,253,254,254,167,1303
1608678323.63,70.4463107368,157.72,255,253,254,254,167,1303
1608678327.14,72.8080670613,146.14,255,253,254,254,167,1303
1608678330.86,68.5488654465,147.47,255,253,254,254,167,1303
1608678334.46,70.6926567903,159.54,255,253,254,254,167,1303
1608678338.0,72.2092399145,151.68,255,253,254,254,167,1303
1608678341.67,69.4860340901,149.28,255,253,254,254,167,1303
1608678345.13,73.6588872472,150.62,255,253,254,254,167,1303
1608678348.68,71.7087334742,150.72,255,253,254,254,167,1303
1608678352.41,68.486014074,157.91,255,253,254,254,167,1303
1608678356.21,67.0741769182,156.0,255,253,254,254,167,1303
1608678361.74,42.1727002175,180.81,233,253,254,254,167,1303

 ,min, 0.14239117752, 92.93,1.0,0.0,254.0,0.0,167.0, 1063.0
 ,max, 79.0671686229, 180.81,255.0,253.0,254.0,254.0,167.0, 1303.0
 ,average, 65.3076648898577, 145.68983606557376,245.9016393442623,239.72131147540983,254.0,245.2622950819672,167.0, 1239.1639344262296
 ,std, 13.93385062340893, 12.96359903626788,36.72123829032519,48.24226129991435,0.0,36.700784660993264,0.0, 93.03431066853493
 ,Number of power cap violation, 1
 ,Violation Amount Precentage, 0.1355649357023658
