time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608674041.6,0.229168688275,56.24,1,0,254,0,145,1063
1608674043.97,54.1292350305,113.11,128,0,254,127,145,1063
1608674045.45,86.7780114684,113.11,128,0,254,127,145,1063
1608674048.39,65.3078318255,113.21,192,127,254,191,145,1063
1608674050.71,82.8723525796,114.13,192,127,254,191,145,1063
1608674054.32,61.9844951032,134.56,224,191,254,223,145,1063
1608674057.0,83.7161287839,111.94,224,191,254,223,145,1063
1608674059.73,82.3598490473,113.19,224,191,254,223,145,1063
1608674063.56,62.5682564322,139.04,240,223,254,239,145,1063
1608674066.92,71.5150288893,114.15,240,223,254,239,145,1063
1608674070.7,65.6749883353,123.28,248,239,254,247,145,1063
1608674073.91,77.3498665658,48.39,248,239,254,247,145,1063
1608674078.01,61.4700718543,115.98,252,247,254,251,145,1063
1608674082.09,62.3795509752,120.19,254,251,254,253,145,1063
1608674085.12,83.7062170899,102.16,254,251,254,253,145,1063
1608674089.12,63.8844919357,129.4,255,253,254,254,145,1063
1608674092.15,84.2520112649,47.62,255,253,254,254,145,1063
1608674095.57,80.8162234591,106.75,255,253,254,254,145,1189
1608674098.68,89.7175218966,118.74,255,253,254,254,145,1303
1608674101.74,83.3853233382,139.84,255,253,254,254,145,1303
1608674104.68,86.8488378485,114.54,255,253,254,254,145,1303
1608674107.65,85.7988423808,132.63,255,253,254,254,145,1303
1608674110.72,83.2120493474,50.89,255,253,254,254,145,1303
1608674114.09,82.1892933203,129.37,255,253,254,254,145,1430
1608674116.95,89.2332215833,126.25,255,253,254,254,145,1430
1608674119.97,84.6738389096,149.48,255,253,254,254,145,1430
1608674123.1,81.0657822849,146.99,254,253,254,253,145,1430
1608674125.27,58.483358794,172.31,127,0,253,126,145,1430
1608674126.81,82.6495131269,172.31,127,0,253,126,145,1430
1608674127.97,55.5019838718,156.65,64,0,126,63,145,1430
1608674128.66,92.3096214224,156.65,64,0,126,63,145,1430
1608674129.47,78.8820492989,156.65,64,0,126,63,145,1430
1608674130.28,79.4231915858,156.65,64,0,126,63,145,1430
1608674130.84,56.6959929,125.61,32,0,63,31,145,1430
1608674131.24,81.5375934642,125.61,32,0,63,31,145,1430
1608674131.72,66.8674057977,125.61,32,0,63,31,145,1430
1608674132.19,67.0422575172,125.61,32,0,63,31,145,1430
1608674132.56,86.3786437384,125.61,32,0,63,31,145,1430
1608674132.95,83.6382494122,125.61,32,0,63,31,145,1430
1608674133.37,75.9555599823,125.61,32,0,63,31,145,1430
1608674133.83,68.9332514324,53.65,32,0,63,31,145,1430
1608674134.37,59.9185750727,65.35,32,0,63,31,145,1430
1608674134.81,72.8671940064,65.35,32,0,63,31,145,1430
1608674135.35,59.0957727007,65.35,32,0,63,31,145,1430
