time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608678377.41,0.126077029045,81.47,1,0,254,0,237,1063
1608678381.25,33.3527976617,122.0,128,0,254,127,237,1063
1608678386.44,36.9930993463,122.01,192,127,254,191,237,1063
1608678392.52,36.8377793243,143.28,224,191,254,223,237,1063
1608678398.75,38.563658409,123.72,240,223,254,239,237,1063
1608678405.03,39.4992635664,129.21,248,239,254,247,237,1063
1608678412.2,35.1542587934,125.35,252,247,254,251,237,1063
1608678418.93,37.7740664859,132.73,254,251,254,253,237,1063
1608678425.91,36.5630446395,144.71,255,253,254,254,237,1063
1608678430.15,67.2724156417,142.18,255,253,254,254,237,1189
1608678434.55,61.0582177798,159.8,255,253,254,254,237,1303
1608678438.89,66.8804570105,178.22,255,253,254,254,237,1430
1608678443.12,63.8708112433,204.82,255,253,254,254,237,1531
1608678447.0,65.8179848961,202.74,255,253,254,254,237,1531
1608678450.77,67.5689305138,203.3,255,253,254,254,237,1531
1608678454.51,68.293897568,204.98,255,253,254,254,237,1531
1608678458.45,64.7469912602,200.63,255,253,254,254,237,1531
1608678462.24,67.3587984253,197.0,255,253,254,254,237,1531
1608678465.95,68.7938968535,202.41,255,253,254,254,237,1531
1608678469.64,69.1639277158,205.87,255,253,254,254,237,1531
1608678473.52,65.6479152143,205.01,255,253,254,254,237,1531
1608678477.41,65.6428425752,206.29,255,253,254,254,237,1531
1608678481.2,67.3567876944,205.18,255,253,254,254,237,1531
1608678485.06,66.0223239986,204.06,255,253,254,254,237,1531
1608678488.82,67.9429972463,201.74,255,253,254,254,237,1531
1608678492.74,65.0635358718,204.25,255,253,254,254,237,1531
1608678496.59,66.3223999767,203.97,255,253,254,254,237,1531
1608678500.35,67.7491127763,203.78,255,253,254,254,237,1531
1608678504.16,66.9148727979,194.61,255,253,254,254,237,1531
1608678508.27,62.0956931365,194.14,255,253,254,254,237,1531
1608678512.69,57.6661624224,204.12,255,253,254,254,237,1531
1608678516.42,68.5033449539,199.77,255,253,254,254,237,1531
1608678520.14,68.6096712309,207.22,255,253,254,254,237,1531
1608678524.01,65.932735693,186.34,255,253,254,254,237,1531
1608678527.95,64.741923645,194.22,255,253,254,254,237,1531
1608678531.62,69.3968774155,191.41,255,253,254,254,237,1531
1608678535.42,67.0943358398,200.08,255,253,254,254,237,1531
1608678539.49,62.8010747637,185.74,255,253,254,254,237,1531
1608678543.12,70.1532947003,203.29,255,253,254,254,237,1531
1608678547.05,64.915559201,205.38,255,253,254,254,237,1531
1608678550.58,72.2307797505,205.97,255,253,254,254,237,1531
1608678554.0,74.727177224,203.76,255,253,254,254,237,1531
1608678557.97,64.2252500125,190.93,255,253,254,254,237,1531
1608678561.74,67.6037510293,204.95,255,253,254,254,237,1531
1608678566.02,59.5893382222,187.68,255,253,254,254,237,1531
1608678569.83,67.0126978878,193.94,255,253,254,254,237,1531
1608678573.82,63.8595193595,202.15,255,253,254,254,237,1531
1608678577.72,65.3756653795,202.04,255,253,254,254,237,1531
1608678581.51,67.4332161832,190.84,255,253,254,254,237,1531
1608678585.32,66.9055132197,200.07,255,253,254,254,237,1531
1608678589.13,66.9670094908,203.3,255,253,254,254,237,1531
1608678593.09,64.2849796329,196.14,255,253,254,254,237,1531
1608678597.12,63.2859891933,210.42,255,253,254,254,237,1531
1608678600.93,66.9654497424,205.11,255,253,254,254,237,1531
1608678604.97,63.0835831841,194.8,255,253,254,254,237,1531
1608678609.06,62.3674398,204.82,255,253,254,254,237,1531
1608678613.06,63.787107597,190.55,255,253,254,254,237,1531
1608678616.78,68.557710496,195.01,255,253,254,254,237,1531
1608678620.75,64.1946773903,204.44,255,253,254,254,237,1531
1608678624.72,64.3724986422,204.7,255,253,254,254,237,1531
1608678629.56,41.5376634034,241.58,201,253,254,254,237,1531

 ,min, 0.126077029045, 81.47,1.0,0.0,254.0,0.0,237.0, 1063.0
 ,max, 74.727177224, 241.58,255.0,253.0,254.0,254.0,237.0, 1531.0
 ,average, 60.73165331405975, 187.8726229508197,245.9016393442623,240.7704918032787,254.0,245.78688524590163,237.0, 1450.950819672131
 ,std, 13.123528862875212, 29.575645158859206,37.0479109023786,47.86435527943008,0.0,36.60695748351598,0.0, 169.83525539397874
 ,Number of power cap violation, 1
 ,Violation Amount Precentage, 0.03168015494224259
