time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608672440.19,0.204459546901,67.04,1,0,254,0,131,1063
1608672443.43,39.5233349755,104.46,128,0,254,127,131,1063
1608672447.42,48.1400770116,122.87,192,127,254,191,131,1063
1608672449.79,81.3208559536,47.33,192,127,254,191,131,1063
1608672451.95,89.0272556341,123.82,192,127,254,191,131,1063
1608672454.0,93.3579652043,117.99,192,127,254,191,131,1063
1608672456.56,75.1145754516,117.99,192,127,254,191,131,1063
1608672459.07,76.6639012792,115.89,192,127,254,191,131,1063
1608672461.49,79.2504878201,120.28,192,127,254,191,131,1063
1608672463.79,83.5602212497,46.85,192,127,254,191,131,1063
1608672466.12,82.8037742922,60.07,192,127,254,191,131,1063
1608672470.89,46.9667950026,121.54,224,191,254,223,131,1063
1608672473.6,82.7121945637,69.25,224,191,254,223,131,1063
1608672476.13,88.6775413345,69.25,224,191,254,223,131,1063
1608672481.02,49.1032635723,118.94,240,223,254,239,131,1063
1608672483.84,84.9713912567,116.36,240,223,254,239,131,1063
1608672486.71,83.7815346084,116.36,240,223,254,239,131,1063
1608672489.45,87.5092852779,47.33,240,223,254,239,131,1063
1608672492.25,85.9846720641,123.82,240,223,254,239,131,1063
1608672495.14,82.9438995095,46.86,240,223,254,239,131,1063
1608672497.83,89.5003074972,117.22,240,223,254,239,131,1063
1608672500.61,86.3075608898,103.41,240,223,254,239,131,1063
1608672503.27,90.2663865206,119.14,240,223,254,239,131,1063
1608672506.11,84.5516707522,118.08,240,223,254,239,131,1063
1608672509.05,81.6810523447,118.08,240,223,254,239,131,1063
1608672511.92,83.7809837376,119.47,240,223,254,239,131,1063
1608672514.66,87.6778626046,119.47,240,223,254,239,131,1063
1608672517.39,87.892390965,119.23,240,223,254,239,131,1063
1608672520.38,80.2465447723,119.23,240,223,254,239,131,1063
1608672523.19,85.3814796959,47.14,240,223,254,239,131,1063
1608672526.08,83.1153582096,116.7,240,223,254,239,131,1063
1608672528.75,89.9845343587,120.67,240,223,254,239,131,1063
1608672531.91,76.1437746484,120.67,240,223,254,239,131,1063
1608672535.17,73.6298903283,47.15,240,223,254,239,131,1063
1608672540.77,44.2564721301,127.94,248,239,254,247,131,1063
1608672543.7,84.7096421703,47.43,248,239,254,247,131,1063
1608672546.58,86.094337263,117.32,248,239,254,247,131,1063
1608672549.36,89.4556616351,122.48,248,239,254,247,131,1063
1608672552.04,92.5208494196,122.48,248,239,254,247,131,1063
1608672554.7,93.4028513268,47.05,248,239,254,247,131,1063
1608672558.04,74.2222740733,119.32,248,239,254,247,131,1063
1608672560.93,85.8647571584,47.14,248,239,254,247,131,1063
1608672563.85,84.9392721754,117.71,248,239,254,247,131,1063
1608672566.65,88.5936085606,118.57,248,239,254,247,131,1063
1608672569.49,87.2131491053,118.57,248,239,254,247,131,1063
1608672572.36,86.663960461,47.14,248,239,254,247,131,1063
1608672575.27,85.1345507236,119.51,248,239,254,247,131,1063
1608672578.25,83.210697688,47.05,248,239,254,247,131,1063
1608672581.49,76.7481096804,119.04,248,239,254,247,131,1063
1608672584.54,81.3137458793,47.14,248,239,254,247,131,1063
1608672589.64,49.4329822757,121.81,252,247,254,251,131,1063
1608672592.55,86.6280928986,119.14,252,247,254,251,131,1063
1608672595.3,91.3744322838,119.14,252,247,254,251,131,1063
1608672598.32,83.5496930217,47.15,252,247,254,251,131,1063
1608672603.36,50.4186133591,114.06,254,251,254,253,131,1063
1608672606.21,89.2457810584,47.33,254,251,254,253,131,1063
1608672609.26,83.2392260084,48.68,254,251,254,253,131,1063
1608672614.68,47.0616557742,114.64,255,253,254,254,131,1063
1608672617.7,84.4233635284,117.6,255,253,254,254,131,1063
1608672620.58,88.5398233935,115.78,255,253,254,254,131,1063
1608672623.57,85.1608070354,120.09,255,253,254,254,131,1063
1608672626.67,82.2676716491,47.15,255,253,254,254,131,1063
1608672630.15,78.7210759821,56.14,255,253,254,254,131,1189
1608672633.68,77.5873840321,52.2,255,253,254,254,131,1303
1608672637.02,49.7894383253,160.28,148,253,254,254,131,1430

 ,min, 0.204459546901, 46.85,1.0,0.0,254.0,0.0,131.0, 1063.0
 ,max, 93.4028513268, 160.28,255.0,253.0,254.0,254.0,131.0, 1430.0
 ,average, 78.05478866168309, 96.41599999999998,230.76923076923077,211.76923076923077,254.0,231.41538461538462,131.0, 1074.2769230769231
 ,std, 16.75345646566605, 33.09919365971136,38.80078081322561,54.52276002686168,0.0,37.502366000311255,0.0, 55.45601380784253
 ,Number of power cap violation, 1
 ,Violation Amount Precentage, 0.34386376981796835
